xm,xm-1,xm-2,y1-m,y2-m,y3-m,y4-m,y5-m
-0.357373853,-0.338373853,-0.255573853,0.00094864,0.148439716,0.998970142,0.124493853,-0.084219151
-0.323873853,-0.357373853,-0.338373853,-0.001576741,0.128439716,0.995460142,-0.053606147,0.09445926
-0.252173853,-0.323873853,-0.357373853,-0.001156524,0.168439716,-0.944299858,-0.080006147,0.042047708
-0.166873853,-0.252173853,-0.323873853,0.000521911,0.128439716,-0.431259858,0.050493853,-0.007708739
-0.075673853,-0.166873853,-0.252173853,0.000515449,0.148439716,0.344690142,0.000693853,-0.033330827
0.006126147,-0.075673853,-0.166873853,0.005878414,0.148439716,0.508560142,-0.065706147,0.037137584
0.038026147,0.006126147,-0.075673853,0.000482325,0.178439716,0.277280142,0.039893853,-0.014063238
0.002426147,0.038026147,0.006126147,0.000476164,0.188439716,-0.938599858,-0.017706147,0.035628976
-0.051473853,0.002426147,0.038026147,-0.000749309,0.168439716,-1.628739858,-0.003106147,0.00031791
-0.106773853,-0.051473853,0.002426147,0.003700501,0.118439716,-0.900849858,0.039793853,-0.05665824
-0.157973853,-0.106773853,-0.051473853,0.000851314,0.078439716,-0.776269858,-0.007306147,0.044218624
-0.172773853,-0.157973853,-0.106773853,0.003228313,0.048439716,0.116220142,-0.043906147,0.013677101
-0.134373853,-0.172773853,-0.157973853,0.000822042,0.068439716,-0.304499858,0.024693853,-0.032490641
-0.085473853,-0.134373853,-0.172773853,2.63035E-05,-0.021560284,-0.869709858,0.016393853,-0.00524214
-0.027473853,-0.085473853,-0.134373853,0.001590942,-0.031560284,-0.033769858,-0.120406147,0.147162863
0.010626147,-0.027473853,-0.085473853,0.001962301,-0.011560284,0.066940142,0.031093853,-0.017962672
0.020826147,0.010626147,-0.027473853,0.000781429,-0.061560284,-0.028659858,-0.049206147,0.031700621
0.039626147,0.020826147,0.010626147,0.00650995,-0.071560284,-0.151309858,-0.086006147,0.021494073
0.011126147,0.039626147,0.020826147,0.001495086,-0.021560284,-0.068779858,0.049393853,-0.000362409
-0.050373853,0.011126147,0.039626147,0.000351444,-0.071560284,-0.990599858,-0.027606147,0.013013426
-0.101273853,-0.050373853,0.011126147,-0.000780349,-0.081560284,0.189140142,0.036593853,0.068114335
-0.152873853,-0.101273853,-0.050373853,-2.99485E-05,-0.051560284,0.037230142,-0.030306147,0.030865243
-0.203773853,-0.152873853,-0.101273853,0.001833467,-0.051560284,-0.206669858,-0.127406147,-0.050113589
-0.213803853,-0.203773853,-0.152873853,0.002182792,-0.191560284,-1.026229858,0.066693853,-0.090277621
-0.169993853,-0.213803853,-0.203773853,0.00252396,-0.161560284,-0.116159858,-0.004906147,0.045523387
-0.123743853,-0.169993853,-0.213803853,-5.84335E-05,-0.151560284,-0.027889858,0.016493853,0.058085122
-0.102953853,-0.123743853,-0.169993853,0.001394941,-0.091560284,-0.076799858,-0.051106147,-0.030834721
-0.081713853,-0.102953853,-0.123743853,0.001380038,-0.141560284,0.018930142,-0.048306147,-0.047703593
-0.023183853,-0.081713853,-0.102953853,0.003157695,-0.251560284,-0.197759858,-0.009106147,-0.010519512
0.047736147,-0.023183853,-0.081713853,0.011882099,-0.211560284,0.029100142,0.053793853,-0.068466333
0.059156147,0.047736147,-0.023183853,0.002645521,-0.201560284,0.032930142,-0.021006147,0.118404584
0.009836147,0.059156147,0.047736147,0.000560736,-0.171560284,0.151050142,-0.017706147,0.019736397
-0.065493853,0.009836147,0.059156147,-0.000813885,-0.141560284,-0.002999858,-0.023706147,-0.031526649
-0.138873853,-0.065493853,0.009836147,0.003273352,-0.161560284,-0.061059858,-0.000206147,-0.085201077
-0.195343853,-0.138873853,-0.065493853,0.002892871,-0.191560284,0.035250142,-0.057806147,-0.096623637
-0.222573853,-0.195343853,-0.138873853,0.002189367,-0.171560284,0.858790142,-0.042406147,0.03385657
-0.217983853,-0.222573853,-0.195343853,-0.002157587,-0.191560284,0.350830142,-0.044506147,0.053047655
-0.144073853,-0.217983853,-0.222573853,-0.001490725,-0.091560284,-0.230809858,-0.073506147,-0.008797942
-0.014673853,-0.144073853,-0.217983853,-0.03739777,-0.141560284,-0.159389858,-0.031906147,0.007483823
0.139646147,-0.014673853,-0.144073853,0.001380038,-0.171560284,0.685330142,-0.107606147,0.125931776
0.266696147,0.139646147,-0.014673853,0.003157695,-0.111560284,0.802300142,0.110893853,0.019219227
0.297106147,0.266696147,0.139646147,0.011882099,-0.101560284,0.417660142,0.173693853,-0.003492647
0.291116147,0.297106147,0.266696147,0.002645521,-0.091560284,0.419480142,-0.111406147,-0.001598815
0.280136147,0.291116147,0.297106147,0.000560736,-0.091560284,0.236560142,0.092293853,-0.043907353
0.266956147,0.280136147,0.291116147,-0.000813885,-0.091560284,0.138460142,0.046093853,0.063705937
