xm,xm-1,xm-2,y1-m,y2-m,y3-m,y4-m,y5-m
3.066996,3.2668917,3.6023191,0.003700501,0.118439716,-0.900849858,0.039793853,-0.05665824
3.1604994,3.066996,3.2668917,0.000851314,0.078439716,-0.776269858,-0.007306147,0.044218624
3.0071619,3.1604994,3.066996,0.003228313,0.048439716,0.116220142,-0.043906147,0.013677101
2.932091,3.0071619,3.1604994,0.000822042,0.068439716,-0.304499858,0.024693853,-0.032490641
2.9229269,2.932091,3.0071619,2.63035E-05,-0.021560284,-0.869709858,0.016393853,-0.00524214
2.27797,2.9229269,2.932091,0.001590942,-0.031560284,-0.033769858,-0.120406147,0.147162863
2.1184212,2.6196564,2.9229269,0.001962301,-0.011560284,0.066940142,0.031093853,-0.017962672
2.0260874,2.1184212,2.6196564,0.000781429,-0.061560284,-0.028659858,-0.049206147,0.031700621
1.447591,2.0260874,2.1184212,0.00650995,-0.071560284,-0.151309858,-0.086006147,0.021494073
0.8026364,1.447591,2.0260874,0.001495086,-0.021560284,-0.068779858,0.049393853,-0.000362409
0.8109027,0.8026364,1.447591,0.000351444,-0.071560284,-0.990599858,-0.027606147,0.013013426
0.22163028,0.8109027,0.8026364,-0.000780349,-0.081560284,0.189140142,0.036593853,0.068114335
0.6113612,0.22163028,0.8109027,-2.99485E-05,-0.051560284,0.037230142,-0.030306147,0.030865243
0.27797,0.6113612,0.22163028,0.001833467,-0.051560284,-0.206669858,-0.127406147,-0.050113589
-0.31723699,0.4390692,0.6113612,0.002182792,-0.191560284,-1.026229858,0.066693853,-0.090277621
-0.91145862,-0.31723699,0.4390692,0.00252396,-0.161560284,-0.116159858,-0.004906147,0.045523387
-0.82892603,-0.91145862,-0.31723699,-5.84335E-05,-0.151560284,-0.027889858,0.016493853,0.058085122
-0.82203,-0.82892603,-0.91145862,0.001394941,-0.091560284,-0.076799858,-0.051106147,-0.030834721
-0.84677178,-0.80371846,-0.82892603,0.001380038,-0.141560284,0.018930142,-0.048306147,-0.047703593
-1.42069661,-0.84677178,-0.80371846,0.003157695,-0.251560284,-0.197759858,-0.009106147,-0.010519512
-1.96968701,-1.42069661,-0.84677178,0.011882099,-0.211560284,0.029100142,0.053793853,-0.068466333
-1.61076182,-1.96968701,-1.42069661,0.002645521,-0.201560284,0.032930142,-0.021006147,0.118404584
