x,x_t-1,x_t-2,y1,y2,y3,y4,y5,y1-1,y2-1,y3-1,y4-1,y5-1,y1-2,y2-2,y3-2,y4-2,y5-2
-0.0249,-0.0829,-0.1318,0.002747466,-0.13,-0.00355,-0.1199,0.150553151,0.001182827,-0.12,-0.83949,0.0169,-0.001851852,0.001978566,-0.03,-0.27428,0.0252,-0.029100353
0.0132,-0.0249,-0.0829,0.003118825,-0.11,0.09716,0.0316,-0.014572384,0.002747466,-0.13,-0.00355,-0.1199,0.150553151,0.001182827,-0.12,-0.83949,0.0169,-0.001851852
0.0234,0.0132,-0.0249,0.001937953,-0.16,0.00156,-0.0487,0.035090909,0.003118825,-0.11,0.09716,0.0316,-0.014572384,0.002747466,-0.13,-0.00355,-0.1199,0.150553151
0.0422,0.0234,0.0132,0.007666474,-0.17,-0.12109,-0.0855,0.024884361,0.001937953,-0.16,0.00156,-0.0487,0.035090909,0.003118825,-0.11,0.09716,0.0316,-0.014572384
0.0137,0.0422,0.0234,0.00265161,-0.12,-0.03856,0.0499,0.003027879,0.007666474,-0.17,-0.12109,-0.0855,0.024884361,0.001937953,-0.16,0.00156,-0.0487,0.035090909
-0.0478,0.0137,0.0422,0.001507968,-0.17,-0.96038,-0.0271,0.016403714,0.00265161,-0.12,-0.03856,0.0499,0.003027879,0.007666474,-0.17,-0.12109,-0.0855,0.024884361
-0.0987,-0.0478,0.0137,0.000376175,-0.18,0.21936,0.0371,0.071504623,0.001507968,-0.17,-0.96038,-0.0271,0.016403714,0.00265161,-0.12,-0.03856,0.0499,0.003027879
-0.1503,-0.0987,-0.0478,0.001126575,-0.15,0.06745,-0.0298,0.034255531,0.000376175,-0.18,0.21936,0.0371,0.071504623,0.001507968,-0.17,-0.96038,-0.0271,0.016403714
-0.2012,-0.1503,-0.0987,0.002989991,-0.15,-0.17645,-0.1269,-0.046723301,0.001126575,-0.15,0.06745,-0.0298,0.034255531,0.000376175,-0.18,0.21936,0.0371,0.071504623
-0.21123,-0.2012,-0.1503,0.003339316,-0.29,-0.99601,0.0672,-0.086887333,0.002989991,-0.15,-0.17645,-0.1269,-0.046723301,0.001126575,-0.15,0.06745,-0.0298,0.034255531
-0.16742,-0.21123,-0.2012,0.003680484,-0.26,-0.08594,-0.0044,0.048913675,0.003339316,-0.29,-0.99601,0.0672,-0.086887333,0.002989991,-0.15,-0.17645,-0.1269,-0.046723301
-0.12117,-0.16742,-0.21123,0.00109809,-0.25,0.00233,0.017,0.06147541,0.003680484,-0.26,-0.08594,-0.0044,0.048913675,0.003339316,-0.29,-0.99601,0.0672,-0.086887333
-0.10038,-0.12117,-0.16742,0.002551465,-0.19,-0.04658,-0.0506,-0.027444433,0.00109809,-0.25,0.00233,0.017,0.06147541,0.003680484,-0.26,-0.08594,-0.0044,0.048913675
-0.07914,-0.10038,-0.12117,0.002536562,-0.24,0.04915,-0.0478,-0.044313305,0.002551465,-0.19,-0.04658,-0.0506,-0.027444433,0.00109809,-0.25,0.00233,0.017,0.06147541
-0.02061,-0.07914,-0.10038,0.004314219,-0.35,-0.16754,-0.0086,-0.007129224,0.002536562,-0.24,0.04915,-0.0478,-0.044313305,0.002551465,-0.19,-0.04658,-0.0506,-0.027444433
0.05031,-0.02061,-0.07914,0.013038623,-0.31,0.05932,0.0543,-0.065076045,0.004314219,-0.35,-0.16754,-0.0086,-0.007129224,0.002536562,-0.24,0.04915,-0.0478,-0.044313305
0.06173,0.05031,-0.02061,0.003802045,-0.3,0.06315,-0.0205,0.121794872,0.013038623,-0.31,0.05932,0.0543,-0.065076045,0.004314219,-0.35,-0.16754,-0.0086,-0.007129224
