x,x_t-1,x_t-2,Y_1t Retail prices index,Y_2t Consumer survey - confidence indicator,Y_3t IBA GBP IBK. LIBOR 3M DELAYED  Inverted,Y_4t Manufacturing survey - production: future tendency,Y_5t FSTE uk stock,Y_1t-1,Y_2t-1,Y_3t-1,Y_4t-1,Y_5t-1,Y_5t-1,Y_1t-6,Y_1t-7,Y_1t-8,Y_1t-9
-0.06292,0.01241,0.06173,0.000788955,0.03,0.0000000,-0.0232,-0.028539774,0.000788955,0.03,0.0000000,-0.0232,-0.028539774,0.003954137,0.03,0.0000055,-0.0172,0.022863316
-0.1363,-0.06292,0.01241,0.010200167,-0.02,-0.0000028,0.0003,-0.085351797,0.010200167,-0.02,-0.0000028,0.0003,-0.085351797,0.000788955,0.03,0.0000000,-0.0232,-0.028539774
-0.19277,-0.1363,-0.06292,0.009324077,-0.03,0.0000056,-0.0573,-0.097870138,0.009324077,-0.03,0.0000056,-0.0573,-0.097870138,0.010200167,-0.02,-0.0000028,0.0003,-0.085351797
-0.22,-0.19277,-0.1363,0.007704198,0.02,0.0000480,-0.0419,0.036569951,0.007704198,0.02,0.0000480,-0.0419,0.036569951,0.009324077,-0.03,0.0000056,-0.0573,-0.097870138
-0.21541,-0.22,-0.19277,-0.002305034,-0.02,0.0000139,-0.044,0.054902818,-0.002305034,-0.02,0.0000139,-0.044,0.054902818,0.007704198,0.02,0.0000480,-0.0419,0.036569951
-0.1415,-0.21541,-0.22,-0.000769527,0.1,-0.0000171,-0.073,-0.005422328,-0.000769527,0.1,-0.0000171,-0.073,-0.005422328,-0.002305034,-0.02,0.0000139,-0.044,0.054902818
-0.0121,-0.1415,-0.21541,-0.083448552,-0.05,-0.0000032,-0.0314,0.010815413,-0.083448552,-0.05,-0.0000032,-0.0314,0.010815413,-0.000769527,0.1,-0.0000171,-0.073,-0.005422328
0.14222,-0.0121,-0.1415,0.005840651,-0.03,0.0000581,-0.1071,0.121617509,0.005840651,-0.03,0.0000581,-0.1071,0.121617509,-0.083448552,-0.05,-0.0000032,-0.0314,0.010815413
0.26927,0.14222,-0.0121,0.009933857,0.06,0.0000378,0.1114,0.022357708,0.009933857,0.06,0.0000378,0.1114,0.022357708,0.005840651,-0.03,0.0000581,-0.1071,0.121617509
0.29968,0.26927,0.14222,0.030022539,0.01,0.0000395,0.1742,-0.000102365,0.030022539,0.01,0.0000395,0.1742,-0.000102365,0.009933857,0.06,0.0000378,0.1114,0.022357708
0.29369,0.29968,0.26927,0.008754533,0.01,0.0000148,-0.1109,0.00178987,0.008754533,0.01,0.0000148,-0.1109,0.00178987,0.030022539,0.01,0.0000395,0.1742,-0.000102365
0.28271,0.29369,0.29968,0.003954137,0,0.0000275,0.0928,-0.041360749,0.003954137,0,0.0000275,0.0928,-0.041360749,0.008754533,0.01,0.0000148,-0.1109,0.00178987
0.26953,0.28271,0.29369,0.000788955,0,0.0000151,0.0466,0.064941151,0.000788955,0,0.0000151,0.0466,0.064941151,0.003954137,0,0.0000275,0.0928,-0.041360749
0.2392,0.26953,0.28271,0.010200167,0.04,0.0000209,0.0103,0.036936017,0.010200167,0.04,0.0000209,0.0103,0.036936017,0.000788955,0,0.0000151,0.0466,0.064941151
0.1555,0.2392,0.26953,0.009324077,0.04,0.0000448,0.0822,-0.028142022,0.009324077,0.04,0.0000448,0.0822,-0.028142022,0.010200167,0.04,0.0000209,0.0103,0.036936017
0.0491,0.1555,0.2392,0.007704198,0.01,-0.0000116,0.039,-0.029772022,0.007704198,0.01,-0.0000116,0.039,-0.029772022,0.009324077,0.04,0.0000448,0.0822,-0.028142022
-0.0289,0.0491,0.1555,-0.002305034,-0.03,-0.0000113,0.0063,-0.064297337,-0.002305034,-0.03,-0.0000113,0.0063,-0.064297337,0.007704198,0.01,-0.0000116,0.039,-0.029772022
-0.0583,-0.0289,0.0491,-0.000769527,-0.02,-0.0000409,-0.0629,0.027603114,-0.000769527,-0.02,-0.0000409,-0.0629,0.027603114,-0.002305034,-0.03,-0.0000113,0.0063,-0.064297337
-0.0275,-0.0583,-0.0289,0.002306806,-0.02,0.0000298,-0.0223,0.054022702,0.002306806,-0.02,0.0000298,-0.0223,0.054022702,-0.000769527,-0.02,-0.0000409,-0.0629,0.027603114
0.0241,-0.0275,-0.0583,0.005361943,0,0.0000399,-0.0368,-0.006834884,0.005361943,0,0.0000399,-0.0368,-0.006834884,0.002306806,-0.02,0.0000298,-0.0223,0.054022702
0.0469,0.0241,-0.0275,0.003812433,0.02,-0.0000454,0.0017,-0.040916553,0.003812433,0.02,-0.0000454,0.0017,-0.040916553,0.005361943,0,0.0000399,-0.0368,-0.006834884
0.0043,0.0469,0.0241,0.012854619,0.06,0.0000336,0.0844,0.085447244,0.012854619,0.06,0.0000336,0.0844,0.085447244,0.003812433,0.02,-0.0000454,0.0017,-0.040916553
-0.1338,0.0043,0.0469,0.003000752,0.07,0.0000299,0.0986,0.019487649,0.003000752,0.07,0.0000299,0.0986,0.019487649,0.012854619,0.06,0.0000336,0.0844,0.085447244
-0.2873,-0.1338,0.0043,0.004484312,-0.05,0.0000062,-0.0571,-0.084756352,0.004484312,-0.05,0.0000062,-0.0571,-0.084756352,0.003000752,0.07,0.0000299,0.0986,0.019487649
-0.36797,-0.2873,-0.1338,-0.002239643,-0.05,-0.0000361,-0.0836,-0.073977287,-0.002239643,-0.05,-0.0000361,-0.0836,-0.073977287,0.004484312,-0.05,0.0000062,-0.0571,-0.084756352
-0.33088,-0.36797,-0.2873,0.002239643,-0.07,0.0000118,-0.1098,-0.070744678,0.002239643,-0.07,0.0000118,-0.1098,-0.070744678,-0.002239643,-0.05,-0.0000361,-0.0836,-0.073977287
-0.20751,-0.33088,-0.36797,0.003721627,-0.02,0.0000411,-0.0081,0.101748144,0.003721627,-0.02,0.0000411,-0.0081,0.101748144,0.002239643,-0.07,0.0000118,-0.1098,-0.070744678
-0.04996,-0.20751,-0.33088,0.003707828,-0.07,0.0002736,0.1,0.053982355,0.003707828,-0.07,0.0002736,0.1,0.053982355,0.003721627,-0.02,0.0000411,-0.0081,0.101748144
0.08323,-0.04996,-0.20751,0.003694131,0,0.0001010,-0.0935,0.065101684,0.003694131,0,0.0001010,-0.0935,0.065101684,0.003707828,-0.07,0.0002736,0.1,0.053982355
0.17282,0.08323,-0.04996,0.000737191,0.05,-0.0000223,0.1069,0.041724302,0.000737191,0.05,-0.0000223,0.1069,0.041724302,0.003694131,0,0.0001010,-0.0935,0.065101684
0.19765,0.17282,0.08323,-0.000737191,0.1,0.0000345,0.0568,-0.00362178,-0.000737191,0.1,0.0000345,0.0568,-0.00362178,0.000737191,0.05,-0.0000223,0.1069,0.041724302
0.21129,0.19765,0.17282,0.005148963,-0.06,0.0001965,0.0234,0.014182694,0.005148963,-0.06,0.0001965,0.0234,0.014182694,-0.000737191,0.1,0.0000345,0.0568,-0.00362178
0.21383,0.21129,0.19765,0.002930405,0.02,0.0000495,0.002,0.007713338,0.002930405,0.02,0.0000495,0.002,0.007713338,0.005148963,-0.06,0.0001965,0.0234,0.014182694
0.2091,0.21383,0.21129,0.015245304,-0.01,0.0000000,0.0549,-0.001888999,0.015245304,-0.01,0.0000000,0.0549,-0.001888999,0.002930405,0.02,0.0000495,0.002,0.007713338
0.1909,0.2091,0.21383,0.003595833,0.12,-0.0000168,0.0783,-0.007365101,0.003595833,0.12,-0.0000168,0.0783,-0.007365101,0.015245304,-0.01,0.0000000,0.0549,-0.001888999
0.1598,0.1909,0.2091,0,-0.07,0.0000582,-0.0872,0.02944872,0,-0.07,0.0000582,-0.0872,0.02944872,0.003595833,0.12,-0.0000168,0.0783,-0.007365101
0.1566,0.1598,0.1909,-0.003595833,0.01,-0.0000414,-0.064,0.020355939,-0.003595833,0.01,-0.0000414,-0.064,0.020355939,0,-0.07,0.0000582,-0.0872,0.02944872
0.1511,0.1566,0.1598,0.000720202,0.05,0.0000347,0.1101,0.040835802,0.000720202,0.05,0.0000347,0.1101,0.040835802,-0.003595833,0.01,-0.0000414,-0.064,0.020355939
0.1045,0.1511,0.1566,0.003593249,0,0.0000000,0.0216,-0.040533811,0.003593249,0,0.0000000,0.0216,-0.040533811,0.000720202,0.05,0.0000347,0.1101,0.040835802
0.0461,0.1045,0.1511,0.003580383,-0.04,0.0000549,-0.0591,0.033800898,0.003580383,-0.04,0.0000549,-0.0591,0.033800898,0.003593249,0,0.0000000,0.0216,-0.040533811
-0.0107,0.0461,0.1045,-0.001430615,-0.04,0.0000586,0.0567,0.008512457,-0.001430615,-0.04,0.0000586,0.0567,0.008512457,0.003580383,-0.04,0.0000549,-0.0591,0.033800898
-0.0567,-0.0107,0.0461,-0.003585518,0,0.0000413,-0.0331,0.056664414,-0.003585518,0,0.0000413,-0.0331,0.056664414,-0.001430615,-0.04,0.0000586,0.0567,0.008512457
-0.0951,-0.0567,-0.0107,-0.009382963,0.08,0.0000433,0.0359,0.044959545,-0.009382963,0.08,0.0000433,0.0359,0.044959545,-0.003585518,0,0.0000413,-0.0331,0.056664414
-0.1568,-0.0951,-0.0567,0.006505263,-0.06,0.0000689,0.0337,-0.043163932,0.006505263,-0.06,0.0000689,0.0337,-0.043163932,-0.009382963,0.08,0.0000433,0.0359,0.044959545
-0.191,-0.1568,-0.0951,0.003595833,-0.04,-0.0000235,-0.0277,-0.049937423,0.003595833,-0.04,-0.0000235,-0.0277,-0.049937423,0.006505263,-0.06,0.0000689,0.0337,-0.043163932
-0.1688,-0.191,-0.1568,0.009289099,-0.01,-0.0000229,-0.0445,0.026937928,0.009289099,-0.01,-0.0000229,-0.0445,0.026937928,0.003595833,-0.04,-0.0000235,-0.0277,-0.049937423
-0.1137,-0.1688,-0.191,0.003549879,0.03,0.0000229,0.058,-0.062322127,0.003549879,0.03,0.0000229,0.058,-0.062322127,0.009289099,-0.01,-0.0000229,-0.0445,0.026937928
-0.0678,-0.1137,-0.1688,-0.000708968,0.03,0.0000000,0.0126,-0.03351497,-0.000708968,0.03,0.0000000,0.0126,-0.03351497,0.003549879,0.03,0.0000229,0.058,-0.062322127
-0.047,-0.0678,-0.1137,-0.002129926,0.01,-0.0000229,-0.0646,0.048480576,-0.002129926,0.01,-0.0000229,-0.0646,0.048480576,-0.000708968,0.03,0.0000000,0.0126,-0.03351497
-0.0385,-0.047,-0.0678,0.004255326,0.03,-0.0000866,0.1501,0.058942113,0.004255326,0.03,-0.0000866,0.1501,0.058942113,-0.002129926,0.01,-0.0000229,-0.0646,0.048480576
-0.063,-0.0385,-0.047,0.004237294,-0.01,-0.0001340,-0.0588,-0.075735757,0.004237294,-0.01,-0.0001340,-0.0588,-0.075735757,0.004255326,0.03,-0.0000866,0.1501,0.058942113
-0.09156,-0.063,-0.0385,-0.00070497,-0.02,-0.0000132,-0.008,0.000765632,-0.00070497,-0.02,-0.0000132,-0.008,0.000765632,0.004237294,-0.01,-0.0001340,-0.0588,-0.075735757
-0.10773,-0.09156,-0.063,-0.001411433,0.03,-0.0000044,0.0368,0.005681352,-0.001411433,0.03,-0.0000044,0.0368,0.005681352,-0.00070497,-0.02,-0.0000132,-0.008,0.000765632
