x_t,x_t-1,x_t-2,GDP_M,INDPRO,RPIX,RMTS,PAYEMS,GDP_M_t-1,INDPRO_t-1,RPIX_t-1,RMTS_t-1,PAYEMS_t-1,GDP_M_t-2,INDPRO_t-2,RPIX_t-2,RMTS_-2,PAYEMS_t-2
0,0,0,0.20368437,0.022018301,0.123742052,-0.730767899,0.154015764,0.390657856,-0.369244052,0.283831035,-0.766018221,0.010578412,0.201863477,0.422150964,0.098026378,1.073138306,0.078617545
0,0,0,-0.110252028,-0.340205327,0.04153526,0.780959718,0.120630914,0.20368437,0.022018301,0.123742052,-0.730767899,0.154015764,0.390657856,-0.369244052,0.283831035,-0.766018221,0.010578412
0,0,0,-0.302346382,-0.493822803,0.438447157,-0.805542737,-0.009795832,-0.110252028,-0.340205327,0.04153526,0.780959718,0.120630914,0.20368437,0.022018301,0.123742052,-0.730767899,0.154015764
0,0,0,-0.123793739,-0.66133395,0.204592352,0.440259377,0.064032305,-0.302346382,-0.493822803,0.438447157,-0.805542737,-0.009795832,-0.110252028,-0.340205327,0.04153526,0.780959718,0.120630914
0,0,0,0.186435689,-0.248541892,0.297017589,-1.205915518,-0.027867846,-0.123793739,-0.66133395,0.204592352,0.440259377,0.064032305,-0.302346382,-0.493822803,0.438447157,-0.805542737,-0.009795832
0,0,0,0.389371691,-0.352151583,-0.404544481,-0.79184538,-0.22171286,0.186435689,-0.248541892,0.297017589,-1.205915518,-0.027867846,-0.123793739,-0.66133395,0.204592352,0.440259377,0.064032305
0,0,0,0.246044054,-0.527849154,-0.324239836,0.860830893,-0.036244743,0.389371691,-0.352151583,-0.404544481,-0.79184538,-0.22171286,0.186435689,-0.248541892,0.297017589,-1.205915518,-0.027867846
0,0,0,-0.041598883,-0.532766429,-0.137903788,-1.372291894,-0.083110451,0.246044054,-0.527849154,-0.324239836,0.860830893,-0.036244743,0.389371691,-0.352151583,-0.404544481,-0.79184538,-0.22171286
0,0,0,-0.271608783,-0.609890487,-0.015441631,0.380679327,-0.096797376,-0.041598883,-0.532766429,-0.137903788,-1.372291894,-0.083110451,0.246044054,-0.527849154,-0.324239836,0.860830893,-0.036244743
0,0,0,-0.242037307,-0.087672,-0.072414446,0.822812761,-0.113553791,-0.271608783,-0.609890487,-0.015441631,0.380679327,-0.096797376,-0.041598883,-0.532766429,-0.137903788,-1.372291894,-0.083110451
