CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y6,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y6_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,y6_t-2
0.02,0.03,0.02,0.014274762,-0.083374746,1.1875,0.03856,-0.0022,0.033774593,0.030676112,-0.157471491,1.2719,0.12109,-0.0403,-0.004064923,0.017648263,-0.171298954,1.4315,-0.00156,-0.0196,0.014011796
-0.05,0.02,0.03,-0.050839049,0.003755334,1.1913,0.96038,-0.0143,0.005021664,0.014274762,-0.083374746,1.1875,0.03856,-0.0022,0.033774593,0.030676112,-0.157471491,1.2719,0.12109,-0.0403,-0.004064923
-0.1,-0.05,0.02,-0.107722506,0.075077081,1.2673,-0.21936,0.0293,0.045293616,-0.050839049,0.003755334,1.1913,0.96038,-0.0143,0.005021664,0.014274762,-0.083374746,1.1875,0.03856,-0.0022,0.033774593
-0.15,-0.1,-0.05,-0.157946527,0.096924099,1.3655,-0.06745,-0.0241,0.046577397,-0.107722506,0.075077081,1.2673,-0.21936,0.0293,0.045293616,-0.050839049,0.003755334,1.1913,0.96038,-0.0143,0.005021664
-0.2,-0.15,-0.1,-0.201594245,0.108459346,1.4755,0.17645,-0.0437,0.009520011,-0.157946527,0.096924099,1.3655,-0.06745,-0.0241,0.046577397,-0.107722506,0.075077081,1.2673,-0.21936,0.0293,0.045293616
-0.22,-0.2,-0.15,-0.207697944,-0.003547717,1.4719,0.99601,0.0115,-0.076678404,-0.201594245,0.108459346,1.4755,0.17645,-0.0437,0.009520011,-0.157946527,0.096924099,1.3655,-0.06745,-0.0241,0.046577397
-0.16,-0.22,-0.2,-0.160340069,-0.049286869,1.4219,0.08594,-0.0368,0.002038335,-0.207697944,-0.003547717,1.4719,0.99601,0.0115,-0.076678404,-0.201594245,0.108459346,1.4755,0.17645,-0.0437,0.009520011
-0.13,-0.16,-0.22,-0.141561876,-0.025244283,1.3963,-0.00233,0.015,0.067070862,-0.160340069,-0.049286869,1.4219,0.08594,-0.0368,0.002038335,-0.207697944,-0.003547717,1.4719,0.99601,0.0115,-0.076678404
-0.11,-0.13,-0.16,-0.110657137,-0.018148265,1.3779,0.04658,-0.0181,0.003935071,-0.141561876,-0.025244283,1.3963,-0.00233,0.015,0.067070862,-0.160340069,-0.049286869,1.4219,0.08594,-0.0368,0.002038335
-0.09,-0.11,-0.13,-0.085012587,-0.066308616,1.3107,-0.04915,-0.0198,-0.030381353,-0.110657137,-0.018148265,1.3779,0.04658,-0.0181,0.003935071,-0.141561876,-0.025244283,1.3963,-0.00233,0.015,0.067070862
-0.03,-0.09,-0.11,-0.026483951,-0.062105517,1.2478,0.16754,-0.0394,-0.021322,-0.085012587,-0.066308616,1.3107,-0.04915,-0.0198,-0.030381353,-0.110657137,-0.018148265,1.3779,0.04658,-0.0181,0.003935071
0.03,-0.03,-0.09,0.034239465,-0.033389015,1.214,-0.05932,0.046,-0.025765896,-0.026483951,-0.062105517,1.2478,0.16754,-0.0394,-0.021322,-0.085012587,-0.066308616,1.3107,-0.04915,-0.0198,-0.030381353
0.05,0.03,-0.03,0.04701589,-0.084707948,1.1283,-0.06315,-0.0189,0.01774626,0.034239465,-0.033389015,1.214,-0.05932,0.046,-0.025765896,-0.026483951,-0.062105517,1.2478,0.16754,-0.0394,-0.021322
0.01,0.05,0.03,-0.000939644,-0.123285789,1.0037,-0.18127,0.0055,0.063573554,0.04701589,-0.084707948,1.1283,-0.06315,-0.0189,0.01774626,0.034239465,-0.033389015,1.214,-0.05932,0.046,-0.025765896
-0.06,0.01,0.05,-0.058943214,-0.21834903,0.7834,-0.02722,-0.0407,-0.006360905,-0.000939644,-0.123285789,1.0037,-0.18127,0.0055,0.063573554,0.04701589,-0.084707948,1.1283,-0.06315,-0.0189,0.01774626
