CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y6,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y6_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2,y6_t-2
-0.16,-0.22,-0.2,-0.2,-0.049286869,1.4219,0.08594,-0.0368,0.204041398,-0.15,-0.003547717,1.4719,0.99601,0.0115,-7.381233586,-0.1,0.108459346,1.4755,0.17645,-0.0437,0.956547051
-0.13,-0.16,-0.22,-0.22,-0.025244283,1.3963,-0.00233,0.015,6.93712534,-0.2,-0.049286869,1.4219,0.08594,-0.0368,0.204041398,-0.15,-0.003547717,1.4719,0.99601,0.0115,-7.381233586
-0.11,-0.13,-0.16,-0.16,-0.018148265,1.3779,0.04658,-0.0181,0.394282361,-0.22,-0.025244283,1.3963,-0.00233,0.015,6.93712534,-0.2,-0.049286869,1.4219,0.08594,-0.0368,0.204041398
-0.09,-0.11,-0.13,-0.13,-0.066308616,1.3107,-0.04915,-0.0198,-2.99244779,-0.16,-0.018148265,1.3779,0.04658,-0.0181,0.394282361,-0.22,-0.025244283,1.3963,-0.00233,0.015,6.93712534
-0.03,-0.09,-0.11,-0.11,-0.062105517,1.2478,0.16754,-0.0394,-2.109629291,-0.13,-0.066308616,1.3107,-0.04915,-0.0198,-2.99244779,-0.16,-0.018148265,1.3779,0.04658,-0.0181,0.394282361
0.03,-0.03,-0.09,-0.09,-0.033389015,1.214,-0.05932,0.046,-2.543678785,-0.11,-0.062105517,1.2478,0.16754,-0.0394,-2.109629291,-0.13,-0.066308616,1.3107,-0.04915,-0.0198,-2.99244779
0.05,0.03,-0.03,-0.03,-0.084707948,1.1283,-0.06315,-0.0189,1.790466056,-0.09,-0.033389015,1.214,-0.05932,0.046,-2.543678785,-0.11,-0.062105517,1.2478,0.16754,-0.0394,-2.109629291
0.01,0.05,0.03,0.03,-0.123285789,1.0037,-0.18127,0.0055,6.563786471,-0.03,-0.084707948,1.1283,-0.06315,-0.0189,1.790466056,-0.09,-0.033389015,1.214,-0.05932,0.046,-2.543678785
-0.06,0.01,0.05,0.05,-0.21834903,0.7834,-0.02722,-0.0407,-0.634071743,0.03,-0.123285789,1.0037,-0.18127,0.0055,6.563786471,-0.03,-0.084707948,1.1283,-0.06315,-0.0189,1.790466056
-0.13,-0.06,0.01,0.01,-0.393496588,0.3876,0.03084,-0.0175,-7.064222233,0.05,-0.21834903,0.7834,-0.02722,-0.0407,-0.634071743,0.03,-0.123285789,1.0037,-0.18127,0.0055,6.563786471
-0.17,-0.13,-0.06,-0.06,-0.432371126,-0.04551,-0.06547,-0.0338,-5.195064274,0.01,-0.393496588,0.3876,0.03084,-0.0175,-7.064222233,0.05,-0.21834903,0.7834,-0.02722,-0.0407,-0.634071743
-0.18,-0.17,-0.13,-0.13,-0.283269563,-0.32825,-0.88901,-0.0281,0.522412726,-0.06,-0.432371126,-0.04551,-0.06547,-0.0338,-5.195064274,0.01,-0.393496588,0.3876,0.03084,-0.0175,-7.064222233
-0.18,-0.18,-0.17,-0.17,-0.068096632,-0.3961,-0.38105,-0.03,-0.105610403,-0.13,-0.283269563,-0.32825,-0.88901,-0.0281,0.522412726,-0.06,-0.432371126,-0.04551,-0.06547,-0.0338,-5.195064274
-0.13,-0.18,-0.18,-0.18,0.042358846,-0.3539,0.20059,-0.0383,3.561192242,-0.17,-0.068096632,-0.3961,-0.38105,-0.03,-0.105610403,-0.13,-0.283269563,-0.32825,-0.88901,-0.0281,0.522412726
-0.03,-0.13,-0.18,-0.18,0.091772809,-0.26241,0.12917,-0.0052,-2.655317079,-0.18,0.042358846,-0.3539,0.20059,-0.0383,3.561192242,-0.17,-0.068096632,-0.3961,-0.38105,-0.03,-0.105610403
0.11,-0.03,-0.13,-0.13,0.256804722,-0.00595,-0.71555,-0.0995,8.151561767,-0.18,0.091772809,-0.26241,0.12917,-0.0052,-2.655317079,-0.18,0.042358846,-0.3539,0.20059,-0.0383,3.561192242
0.23,0.11,-0.03,-0.03,0.377558856,0.3723,-0.83252,0.0408,7.524950163,-0.13,0.256804722,-0.00595,-0.71555,-0.0995,8.151561767,-0.18,0.091772809,-0.26241,0.12917,-0.0052,-2.655317079
0.26,0.23,0.11,0.11,0.140278938,0.5132,-0.44788,0.0625,2.627412068,-0.03,0.377558856,0.3723,-0.83252,0.0408,7.524950163,-0.13,0.256804722,-0.00595,-0.71555,-0.0995,8.151561767
0.28,0.26,0.23,0.23,-0.009153446,0.504,-0.4497,-0.0656,-0.829407506,0.11,0.140278938,0.5132,-0.44788,0.0625,2.627412068,-0.03,0.377558856,0.3723,-0.83252,0.0408,7.524950163
0.27,0.28,0.26,0.26,-0.045381624,0.4584,-0.26678,0.0387,0.072842883,0.23,-0.009153446,0.504,-0.4497,-0.0656,-0.829407506,0.11,0.140278938,0.5132,-0.44788,0.0625,2.627412068
0.26,0.27,0.28,0.28,-0.062632592,0.3955,-0.16868,0.0192,1.401508764,0.26,-0.045381624,0.4584,-0.26678,0.0387,0.072842883,0.23,-0.009153446,0.504,-0.4497,-0.0656,-0.829407506
0.24,0.26,0.27,0.27,-0.044932425,0.3504,-0.19652,0.019,2.782313138,0.28,-0.062632592,0.3955,-0.16868,0.0192,1.401508764,0.26,-0.045381624,0.4584,-0.26678,0.0387,0.072842883
0.16,0.24,0.26,0.26,-0.056218864,0.294,-0.59916,0.0629,0.832990132,0.27,-0.044932425,0.3504,-0.19652,0.019,2.782313138,0.28,-0.062632592,0.3955,-0.16868,0.0192,1.401508764
0.06,0.16,0.24,0.24,-0.184927701,0.1087,0.12415,-0.0044,-1.575081782,0.26,-0.056218864,0.294,-0.59916,0.0629,0.832990132,0.27,-0.044932425,0.3504,-0.19652,0.019,2.782313138
-0.03,0.06,0.16,0.16,-0.262459204,-0.1537,0.07154,0.0267,-2.935849489,0.24,-0.184927701,0.1087,0.12415,-0.0044,-1.575081782,0.26,-0.056218864,0.294,-0.59916,0.0629,0.832990132
-0.05,-0.03,0.06,0.06,-0.1904838,-0.34371,0.3186,-0.0316,-3.776137988,0.16,-0.262459204,-0.1537,0.07154,0.0267,-2.935849489,0.24,-0.184927701,0.1087,0.12415,-0.0044,-1.575081782
-0.03,-0.05,-0.03,-0.03,-0.057393678,-0.40089,-0.13064,-0.0355,4.55056564,0.06,-0.1904838,-0.34371,0.3186,-0.0316,-3.776137988,0.16,-0.262459204,-0.1537,0.07154,0.0267,-2.935849489
0.02,-0.03,-0.05,-0.05,0.095266704,-0.30596,-0.29742,0.004,0.917550268,-0.03,-0.057393678,-0.40089,-0.13064,-0.0355,4.55056564,0.06,-0.1904838,-0.34371,0.3186,-0.0316,-3.776137988
0.04,0.02,-0.03,-0.03,0.164348127,-0.14198,0.25014,0.0276,-1.890189766,-0.05,0.095266704,-0.30596,-0.29742,0.004,0.917550268,-0.03,-0.057393678,-0.40089,-0.13064,-0.0355,4.55056564
0,0.04,0.02,0.02,0.09641046,-0.04566,-0.01562,0.0258,2.172480104,-0.03,0.164348127,-0.14198,0.25014,0.0276,-1.890189766,-0.05,0.095266704,-0.30596,-0.29742,0.004,0.917550268
-0.13,0,0.04,0.04,0.004772065,-0.04089,-0.54583,0.0809,5.997055755,0.02,0.09641046,-0.04566,-0.01562,0.0258,2.172480104,-0.03,0.164348127,-0.14198,0.25014,0.0276,-1.890189766
-0.27,-0.13,0,0,-0.099780544,-0.14058,-0.05822,-0.0381,-3.622802539,0.04,0.004772065,-0.04089,-0.54583,0.0809,5.997055755,0.02,0.09641046,-0.04566,-0.01562,0.0258,2.172480104
-0.36,-0.27,-0.13,-0.13,-0.195896875,-0.33601,0.15167,-0.0508,-6.188847303,0,-0.099780544,-0.14058,-0.05822,-0.0381,-3.622802539,0.04,0.004772065,-0.04089,-0.54583,0.0809,5.997055755
-0.31,-0.36,-0.27,-0.27,-0.221237106,-0.55626,0.20975,-0.071,-4.057982828,-0.13,-0.195896875,-0.33601,0.15167,-0.0508,-6.188847303,0,-0.099780544,-0.14058,-0.05822,-0.0381,-3.622802539
-0.19,-0.31,-0.36,-0.36,-0.190358951,-0.74538,-0.37491,0.0029,4.62028201,-0.27,-0.221237106,-0.55626,0.20975,-0.071,-4.057982828,-0.13,-0.195896875,-0.33601,0.15167,-0.0508,-6.188847303
-0.04,-0.19,-0.31,-0.31,-0.063644491,-0.80853,-1.64382,0.0593,5.491801317,-0.36,-0.190358951,-0.74538,-0.37491,0.0029,4.62028201,-0.27,-0.221237106,-0.55626,0.20975,-0.071,-4.057982828
0.1,-0.04,-0.19,-0.19,0.129564274,-0.67993,-1.12636,-0.0499,4.863684832,-0.31,-0.063644491,-0.80853,-1.64382,0.0593,5.491801317,-0.36,-0.190358951,-0.74538,-0.37491,0.0029,4.62028201
0.18,0.1,-0.04,-0.04,0.151908215,-0.52894,-0.03579,0.0417,2.399112241,-0.19,0.129564274,-0.67993,-1.12636,-0.0499,4.863684832,-0.31,-0.063644491,-0.80853,-1.64382,0.0593,5.491801317
