CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
0.04,0.01,-0.07,-0.243266399,0.035527073,1.6307,-0.3075,0.0412,0.194891748,0.03071501,1.5946,-0.53878,-0.0301,-0.301956125,0.079390803,1.5634,-0.37491,-0.013
0,0.04,0.01,0.207679016,0.03010448,1.6613,0.90838,-0.0374,-0.243266399,0.035527073,1.6307,-0.3075,0.0412,0.194891748,0.03071501,1.5946,-0.53878,-0.0301
-0.06,0,0.04,-0.018130234,0.045139735,1.7072,1.59852,0.0094,0.207679016,0.03010448,1.6613,0.90838,-0.0374,-0.243266399,0.035527073,1.6307,-0.3075,0.0412
-0.1,-0.06,0,-0.166351904,0.084226008,1.7929,0.87063,0.0159,-0.018130234,0.045139735,1.7072,1.59852,0.0094,0.207679016,0.03010448,1.6613,0.90838,-0.0374
-0.16,-0.1,-0.06,0.100628165,0.045866942,1.8396,0.74605,-0.0037,-0.166351904,0.084226008,1.7929,0.87063,0.0159,-0.018130234,0.045139735,1.7072,1.59852,0.0094
-0.17,-0.16,-0.1,0.02443315,-0.013551639,1.8258,-0.14644,-0.0121,0.100628165,0.045866942,1.8396,0.74605,-0.0037,-0.166351904,0.084226008,1.7929,0.87063,0.0159
-0.13,-0.17,-0.16,-0.017089723,-0.038013309,1.7871,0.27428,-0.017,0.02443315,-0.013551639,1.8258,-0.14644,-0.0121,0.100628165,0.045866942,1.8396,0.74605,-0.0037
-0.09,-0.13,-0.17,-0.403893168,-0.042647109,1.7437,0.83949,0.0151,-0.017089723,-0.038013309,1.7871,0.27428,-0.017,0.02443315,-0.013551639,1.8258,-0.14644,-0.0121
-0.02,-0.09,-0.13,0.151749052,-0.025361051,1.7179,0.00355,-0.0712,-0.403893168,-0.042647109,1.7437,0.83949,0.0151,-0.017089723,-0.038013309,1.7871,0.27428,-0.017
0.01,-0.02,-0.09,0.006368531,-0.110661209,1.6054,-0.09716,-0.0135,0.151749052,-0.025361051,1.7179,0.00355,-0.0712,-0.403893168,-0.042647109,1.7437,0.83949,0.0151
0.02,0.01,-0.02,-0.422775473,-0.171298954,1.4315,-0.00156,-0.0196,0.006368531,-0.110661209,1.6054,-0.09716,-0.0135,0.151749052,-0.025361051,1.7179,0.00355,-0.0712
0.03,0.02,0.01,-0.04378593,-0.157471491,1.2719,0.12109,-0.0403,-0.422775473,-0.171298954,1.4315,-0.00156,-0.0196,0.006368531,-0.110661209,1.6054,-0.09716,-0.0135
0.02,0.03,0.02,0.292530991,-0.083374746,1.1875,0.03856,-0.0022,-0.04378593,-0.157471491,1.2719,0.12109,-0.0403,-0.422775473,-0.171298954,1.4315,-0.00156,-0.0196
-0.05,0.02,0.03,0.096816468,0.003755334,1.1913,0.96038,-0.0143,0.292530991,-0.083374746,1.1875,0.03856,-0.0022,-0.04378593,-0.157471491,1.2719,0.12109,-0.0403
-0.1,-0.05,0.02,-0.154543252,0.075077081,1.2673,-0.21936,0.0293,0.096816468,0.003755334,1.1913,0.96038,-0.0143,0.292530991,-0.083374746,1.1875,0.03856,-0.0022
-0.15,-0.1,-0.05,0.097205638,0.096924099,1.3655,-0.06745,-0.0241,-0.154543252,0.075077081,1.2673,-0.21936,0.0293,0.096816468,0.003755334,1.1913,0.96038,-0.0143
-0.2,-0.15,-0.1,-0.234965704,0.108459346,1.4755,0.17645,-0.0437,0.097205638,0.096924099,1.3655,-0.06745,-0.0241,-0.154543252,0.075077081,1.2673,-0.21936,0.0293
-0.22,-0.2,-0.15,-0.09281349,-0.003547717,1.4719,0.99601,0.0115,-0.234965704,0.108459346,1.4755,0.17645,-0.0437,0.097205638,0.096924099,1.3655,-0.06745,-0.0241
-0.16,-0.22,-0.2,0.046497493,-0.049286869,1.4219,0.08594,-0.0368,-0.09281349,-0.003547717,1.4719,0.99601,0.0115,-0.234965704,0.108459346,1.4755,0.17645,-0.0437
-0.13,-0.16,-0.22,0.250669693,-0.025244283,1.3963,-0.00233,0.015,0.046497493,-0.049286869,1.4219,0.08594,-0.0368,-0.09281349,-0.003547717,1.4719,0.99601,0.0115
-0.11,-0.13,-0.16,-0.438660759,-0.018148265,1.3779,0.04658,-0.0181,0.250669693,-0.025244283,1.3963,-0.00233,0.015,0.046497493,-0.049286869,1.4219,0.08594,-0.0368
-0.09,-0.11,-0.13,-0.361133348,-0.066308616,1.3107,-0.04915,-0.0198,-0.438660759,-0.018148265,1.3779,0.04658,-0.0181,0.250669693,-0.025244283,1.3963,-0.00233,0.015
-0.03,-0.09,-0.11,0.21332258,-0.062105517,1.2478,0.16754,-0.0394,-0.361133348,-0.066308616,1.3107,-0.04915,-0.0198,-0.438660759,-0.018148265,1.3779,0.04658,-0.0181
0.03,-0.03,-0.09,0.098389994,-0.033389015,1.214,-0.05932,0.046,0.21332258,-0.062105517,1.2478,0.16754,-0.0394,-0.361133348,-0.066308616,1.3107,-0.04915,-0.0198
0.05,0.03,-0.03,-0.057218018,-0.084707948,1.1283,-0.06315,-0.0189,0.098389994,-0.033389015,1.214,-0.05932,0.046,0.21332258,-0.062105517,1.2478,0.16754,-0.0394
0.01,0.05,0.03,0.036949913,-0.123285789,1.0037,-0.18127,0.0055,-0.057218018,-0.084707948,1.1283,-0.06315,-0.0189,0.098389994,-0.033389015,1.214,-0.05932,0.046
-0.06,0.01,0.05,-0.162018632,-0.21834903,0.7834,-0.02722,-0.0407,0.036949913,-0.123285789,1.0037,-0.18127,0.0055,-0.057218018,-0.084707948,1.1283,-0.06315,-0.0189
-0.13,-0.06,0.01,-0.195432143,-0.393496588,0.3876,0.03084,-0.0175,-0.162018632,-0.21834903,0.7834,-0.02722,-0.0407,0.036949913,-0.123285789,1.0037,-0.18127,0.0055
-0.17,-0.13,-0.06,0.27223659,-0.432371126,-0.04551,-0.06547,-0.0338,-0.195432143,-0.393496588,0.3876,0.03084,-0.0175,-0.162018632,-0.21834903,0.7834,-0.02722,-0.0407
-0.18,-0.17,-0.13,0.218231675,-0.283269563,-0.32825,-0.88901,-0.0281,0.27223659,-0.432371126,-0.04551,-0.06547,-0.0338,-0.195432143,-0.393496588,0.3876,0.03084,-0.0175
-0.18,-0.18,-0.17,-0.186243482,-0.068096632,-0.3961,-0.38105,-0.03,0.218231675,-0.283269563,-0.32825,-0.88901,-0.0281,0.27223659,-0.432371126,-0.04551,-0.06547,-0.0338
-0.13,-0.18,-0.18,-0.361765515,0.042358846,-0.3539,0.20059,-0.0383,-0.186243482,-0.068096632,-0.3961,-0.38105,-0.03,0.218231675,-0.283269563,-0.32825,-0.88901,-0.0281
-0.03,-0.13,-0.18,-0.077089692,0.091772809,-0.26241,0.12917,-0.0052,-0.361765515,0.042358846,-0.3539,0.20059,-0.0383,-0.186243482,-0.068096632,-0.3961,-0.38105,-0.03
0.11,-0.03,-0.13,-0.233857048,0.256804722,-0.00595,-0.71555,-0.0995,-0.077089692,0.091772809,-0.26241,0.12917,-0.0052,-0.361765515,0.042358846,-0.3539,0.20059,-0.0383
0.23,0.11,-0.03,0.25440963,0.377558856,0.3723,-0.83252,0.0408,-0.233857048,0.256804722,-0.00595,-0.71555,-0.0995,-0.077089692,0.091772809,-0.26241,0.12917,-0.0052
0.26,0.23,0.11,-0.398372879,0.140278938,0.5132,-0.44788,0.0625,0.25440963,0.377558856,0.3723,-0.83252,0.0408,-0.233857048,0.256804722,-0.00595,-0.71555,-0.0995
0.28,0.26,0.23,0.159186543,-0.009153446,0.504,-0.4497,-0.0656,-0.398372879,0.140278938,0.5132,-0.44788,0.0625,0.25440963,0.377558856,0.3723,-0.83252,0.0408
0.27,0.28,0.26,0.355820449,-0.045381624,0.4584,-0.26678,0.0387,0.159186543,-0.009153446,0.504,-0.4497,-0.0656,-0.398372879,0.140278938,0.5132,-0.44788,0.0625
0.26,0.27,0.28,0.31319182,-0.062632592,0.3955,-0.16868,0.0192,0.355820449,-0.045381624,0.4584,-0.26678,0.0387,0.159186543,-0.009153446,0.504,-0.4497,-0.0656
0.24,0.26,0.27,0.117144991,-0.044932425,0.3504,-0.19652,0.019,0.31319182,-0.062632592,0.3955,-0.16868,0.0192,0.355820449,-0.045381624,0.4584,-0.26678,0.0387
0.16,0.24,0.26,0.093184695,-0.056218864,0.294,-0.59916,0.0629,0.117144991,-0.044932425,0.3504,-0.19652,0.019,0.31319182,-0.062632592,0.3955,-0.16868,0.0192
0.06,0.16,0.24,0.080087075,-0.184927701,0.1087,0.12415,-0.0044,0.093184695,-0.056218864,0.294,-0.59916,0.0629,0.117144991,-0.044932425,0.3504,-0.19652,0.019
-0.03,0.06,0.16,0.177072025,-0.262459204,-0.1537,0.07154,0.0267,0.080087075,-0.184927701,0.1087,0.12415,-0.0044,0.093184695,-0.056218864,0.294,-0.59916,0.0629
-0.05,-0.03,0.06,0.141016345,-0.1904838,-0.34371,0.3186,-0.0316,0.177072025,-0.262459204,-0.1537,0.07154,0.0267,0.080087075,-0.184927701,0.1087,0.12415,-0.0044
-0.03,-0.05,-0.03,0.043700804,-0.057393678,-0.40089,-0.13064,-0.0355,0.141016345,-0.1904838,-0.34371,0.3186,-0.0316,0.177072025,-0.262459204,-0.1537,0.07154,0.0267
0.02,-0.03,-0.05,0.009122998,0.095266704,-0.30596,-0.29742,0.004,0.043700804,-0.057393678,-0.40089,-0.13064,-0.0355,0.141016345,-0.1904838,-0.34371,0.3186,-0.0316
0.04,0.02,-0.03,-0.381888875,0.164348127,-0.14198,0.25014,0.0276,0.009122998,0.095266704,-0.30596,-0.29742,0.004,0.043700804,-0.057393678,-0.40089,-0.13064,-0.0355
0,0.04,0.02,0.166932422,0.09641046,-0.04566,-0.01562,0.0258,-0.381888875,0.164348127,-0.14198,0.25014,0.0276,0.009122998,0.095266704,-0.30596,-0.29742,0.004
-0.13,0,0.04,0.1471555,0.004772065,-0.04089,-0.54583,0.0809,0.166932422,0.09641046,-0.04566,-0.01562,0.0258,-0.381888875,0.164348127,-0.14198,0.25014,0.0276
-0.27,-0.13,0,-0.178179204,-0.099780544,-0.14058,-0.05822,-0.0381,0.1471555,0.004772065,-0.04089,-0.54583,0.0809,0.166932422,0.09641046,-0.04566,-0.01562,0.0258
-0.36,-0.27,-0.13,-0.236930152,-0.195896875,-0.33601,0.15167,-0.0508,-0.178179204,-0.099780544,-0.14058,-0.05822,-0.0381,0.1471555,0.004772065,-0.04089,-0.54583,0.0809
-0.31,-0.36,-0.27,0.260884107,-0.221237106,-0.55626,0.20975,-0.071,-0.236930152,-0.195896875,-0.33601,0.15167,-0.0508,-0.178179204,-0.099780544,-0.14058,-0.05822,-0.0381
-0.19,-0.31,-0.36,-0.090717717,-0.190358951,-0.74538,-0.37491,0.0029,0.260884107,-0.221237106,-0.55626,0.20975,-0.071,-0.236930152,-0.195896875,-0.33601,0.15167,-0.0508
-0.04,-0.19,-0.31,-0.278794656,-0.063644491,-0.80853,-1.64382,0.0593,-0.090717717,-0.190358951,-0.74538,-0.37491,0.0029,0.260884107,-0.221237106,-0.55626,0.20975,-0.071
0.1,-0.04,-0.19,-0.490685212,0.129564274,-0.67993,-1.12636,-0.0499,-0.278794656,-0.063644491,-0.80853,-1.64382,0.0593,-0.090717717,-0.190358951,-0.74538,-0.37491,0.0029
0.18,0.1,-0.04,-0.059676733,0.151908215,-0.52894,-0.03579,0.0417,-0.490685212,0.129564274,-0.67993,-1.12636,-0.0499,-0.278794656,-0.063644491,-0.80853,-1.64382,0.0593
0.21,0.18,0.1,0.08434234,0.070206832,-0.45908,-0.24769,0.0274,-0.059676733,0.151908215,-0.52894,-0.03579,0.0417,-0.490685212,0.129564274,-0.67993,-1.12636,-0.0499
0.22,0.21,0.18,0.209051705,-0.001255773,-0.46033,-0.75277,0.0408,0.08434234,0.070206832,-0.45908,-0.24769,0.0274,-0.059676733,0.151908215,-0.52894,-0.03579,0.0417
0.22,0.22,0.21,0.206778445,-0.008238261,-0.46853,-0.19893,0.0312,0.209051705,-0.001255773,-0.46033,-0.75277,0.0408,0.08434234,0.070206832,-0.45908,-0.24769,0.0274
0.2,0.22,0.22,0.069428363,-0.025733866,-0.49414,-0.00814,0.0458,0.206778445,-0.008238261,-0.46853,-0.19893,0.0312,0.209051705,-0.001255773,-0.46033,-0.75277,0.0408
