CLI,CLI_t-1,CLI_t-2,y0,y1,y2,y4,y0_t-1,y1_t-1,y2_t-1,y4_t-1,y0_t-2,y1_t-2,y2_t-2,y4_t-2
-0.11,-0.09,-0.07,0.115505178,-0.018700216,1.0589,0.0201,0.052969556,0.02434065,1.0778,0.0067,0.171252433,0.071572079,1.0532,-0.0304
-0.11,-0.11,-0.09,0.178040799,-0.028205353,1.0304,0.0217,0.115505178,-0.018700216,1.0589,0.0201,0.052969556,0.02434065,1.0778,0.0067
-0.07,-0.11,-0.11,0.240576421,-0.047323688,0.9826,-0.0233,0.178040799,-0.028205353,1.0304,0.0217,0.115505178,-0.018700216,1.0589,0.0201
-0.03,-0.07,-0.11,0.136815095,-0.124256976,0.8572,0.0412,0.240576421,-0.047323688,0.9826,-0.0233,0.178040799,-0.028205353,1.0304,0.0217
0,-0.03,-0.07,0.033053769,-0.136622954,0.7195,-0.0249,0.136815095,-0.124256976,0.8572,0.0412,0.240576421,-0.047323688,0.9826,-0.0233
0.03,0,-0.03,-0.070707557,-0.04230463,0.6769,-0.0374,0.033053769,-0.136622954,0.7195,-0.0249,0.136815095,-0.124256976,0.8572,0.0412
0.07,0.03,0,0.13462312,0.023140665,0.7002,0.0442,-0.070707557,-0.04230463,0.6769,-0.0374,0.033053769,-0.136622954,0.7195,-0.0249
0.07,0.07,0.03,0.339953796,0.096576792,0.7975,-0.0588,0.13462312,0.023140665,0.7002,0.0442,-0.070707557,-0.04230463,0.6769,-0.0374
0.06,0.07,0.07,0.545284473,0.068827223,0.8669,-0.038,0.339953796,0.096576792,0.7975,-0.0588,0.13462312,0.023140665,0.7002,0.0442
0.04,0.06,0.07,0.348725085,-0.021515814,0.8452,0.0254,0.545284473,0.068827223,0.8669,-0.038,0.339953796,0.096576792,0.7975,-0.0588
0.01,0.04,0.06,0.152165697,-0.131972351,0.7122,-0.0238,0.348725085,-0.021515814,0.8452,0.0254,0.545284473,0.068827223,0.8669,-0.038
-0.01,0.01,0.04,-0.044393692,-0.11534548,0.5961,-0.0196,0.152165697,-0.131972351,0.7122,-0.0238,0.348725085,-0.021515814,0.8452,0.0254
-0.03,-0.01,0.01,0.083932726,-0.077866327,0.5178,-0.0232,-0.044393692,-0.11534548,0.5961,-0.0196,0.152165697,-0.131972351,0.7122,-0.0238
-0.01,-0.03,-0.01,0.212259144,-0.024078236,0.4936,-0.0484,0.083932726,-0.077866327,0.5178,-0.0232,-0.044393692,-0.11534548,0.5961,-0.0196
0,-0.01,-0.03,0.340585562,0.00218917,0.4958,0.0464,0.212259144,-0.024078236,0.4936,-0.0484,0.083932726,-0.077866327,0.5178,-0.0232
0.02,0,-0.01,0.227594465,0.037805378,0.5338,-0.0085,0.340585562,0.00218917,0.4958,0.0464,0.212259144,-0.024078236,0.4936,-0.0484
0.02,0.02,0,0.114603369,0.08163075,0.6159,-0.008,0.227594465,0.037805378,0.5338,-0.0085,0.340585562,0.00218917,0.4958,0.0464
0.02,0.02,0.02,0.001612272,0.027824732,0.6439,-0.0209,0.114603369,0.08163075,0.6159,-0.008,0.227594465,0.037805378,0.5338,-0.0085
-0.02,0.02,0.02,0.109993563,-0.00685609,0.637,-0.0255,0.001612272,0.027824732,0.6439,-0.0209,0.114603369,0.08163075,0.6159,-0.008
-0.01,-0.02,0.02,0.218374855,0.02344787,0.6606,0.0341,0.109993563,-0.00685609,0.637,-0.0255,0.001612272,0.027824732,0.6439,-0.0209
-0.01,-0.01,-0.02,0.326756147,0.03814072,0.699,0.0184,0.218374855,0.02344787,0.6606,0.0341,0.109993563,-0.00685609,0.637,-0.0255
0.03,-0.01,-0.01,0.374936108,0.041997555,0.7413,0.0288,0.326756147,0.03814072,0.699,0.0184,0.218374855,0.02344787,0.6606,0.0341
0.04,0.03,-0.01,0.423116069,0.020049349,0.7615,0.0161,0.374936108,0.041997555,0.7413,0.0288,0.326756147,0.03814072,0.699,0.0184
0.05,0.04,0.03,0.47129603,0.005259807,0.7668,0.0174,0.423116069,0.020049349,0.7615,0.0161,0.374936108,0.041997555,0.7413,0.0288
