CLI,CLI_t-1,CLI_t-2,y1,y1_t-1,y1_t-2,y2,y2_t-1,y2_t-2,y3,y3_t-1,y3_t-2,y4,y4_t-1,y4_t-2,y5,y5_t-1,y5_t-2
-0.11,-0.13,-0.16,-0.018148265,-0.025244283,-0.049286869,1.3779,1.3963,1.4219,0.04658,-0.00233,0.08594,-0.0181,0.015,-0.0368,0.003942824,0.069371253,0.002040414
-0.09,-0.11,-0.13,-0.066308616,-0.018148265,-0.025244283,1.3107,1.3779,1.3963,-0.04915,0.04658,-0.00233,-0.0198,-0.0181,0.015,-0.029924478,0.003942824,0.069371253
-0.03,-0.09,-0.11,-0.062105517,-0.066308616,-0.018148265,1.2478,1.3107,1.3779,0.16754,-0.04915,0.04658,-0.0394,-0.0198,-0.0181,-0.021096293,-0.029924478,0.003942824
0.03,-0.03,-0.09,-0.033389015,-0.062105517,-0.066308616,1.214,1.2478,1.3107,-0.05932,0.16754,-0.04915,0.046,-0.0394,-0.0198,-0.025436788,-0.021096293,-0.029924478
0.05,0.03,-0.03,-0.084707948,-0.033389015,-0.062105517,1.1283,1.214,1.2478,-0.06315,-0.05932,0.16754,-0.0189,0.046,-0.0394,0.017904661,-0.025436788,-0.021096293
0.01,0.05,0.03,-0.123285789,-0.084707948,-0.033389015,1.0037,1.1283,1.214,-0.18127,-0.06315,-0.05932,0.0055,-0.0189,0.046,0.065637865,0.017904661,-0.025436788
-0.06,0.01,0.05,-0.21834903,-0.123285789,-0.084707948,0.7834,1.0037,1.1283,-0.02722,-0.18127,-0.06315,-0.0407,0.0055,-0.0189,-0.006340717,0.065637865,0.017904661
-0.13,-0.06,0.01,-0.393496588,-0.21834903,-0.123285789,0.3876,0.7834,1.0037,0.03084,-0.02722,-0.18127,-0.0175,-0.0407,0.0055,-0.070642222,-0.006340717,0.065637865
-0.17,-0.13,-0.06,-0.432371126,-0.393496588,-0.21834903,-0.04551,0.3876,0.7834,-0.06547,0.03084,-0.02722,-0.0338,-0.0175,-0.0407,-0.051950643,-0.070642222,-0.006340717
-0.18,-0.17,-0.13,-0.283269563,-0.432371126,-0.393496588,-0.32825,-0.04551,0.3876,-0.88901,-0.06547,0.03084,-0.0281,-0.0338,-0.0175,0.005224127,-0.051950643,-0.070642222
