CLI,CLI_t-1,CLI_t-2,y1,y2,y3,y4,y5,y1_t-1,y2_t-1,y3_t-1,y4_t-1,y5_t-1,y1_t-2,y2_t-2,y3_t-2,y4_t-2,y5_t-2
-0.11,-0.13,-0.16,-0.16,-0.018148265,1.3779,0.04658,-0.0181,-0.22,-0.025244283,1.3963,-0.00233,0.015,-0.2,-0.049286869,1.4219,0.08594,-0.0368
-0.09,-0.11,-0.13,-0.13,-0.066308616,1.3107,-0.04915,-0.0198,-0.16,-0.018148265,1.3779,0.04658,-0.0181,-0.22,-0.025244283,1.3963,-0.00233,0.015
-0.03,-0.09,-0.11,-0.11,-0.062105517,1.2478,0.16754,-0.0394,-0.13,-0.066308616,1.3107,-0.04915,-0.0198,-0.16,-0.018148265,1.3779,0.04658,-0.0181
0.03,-0.03,-0.09,-0.09,-0.033389015,1.214,-0.05932,0.046,-0.11,-0.062105517,1.2478,0.16754,-0.0394,-0.13,-0.066308616,1.3107,-0.04915,-0.0198
0.05,0.03,-0.03,-0.03,-0.084707948,1.1283,-0.06315,-0.0189,-0.09,-0.033389015,1.214,-0.05932,0.046,-0.11,-0.062105517,1.2478,0.16754,-0.0394
0.01,0.05,0.03,0.03,-0.123285789,1.0037,-0.18127,0.0055,-0.03,-0.084707948,1.1283,-0.06315,-0.0189,-0.09,-0.033389015,1.214,-0.05932,0.046
-0.06,0.01,0.05,0.05,-0.21834903,0.7834,-0.02722,-0.0407,0.03,-0.123285789,1.0037,-0.18127,0.0055,-0.03,-0.084707948,1.1283,-0.06315,-0.0189
-0.13,-0.06,0.01,0.01,-0.393496588,0.3876,0.03084,-0.0175,0.05,-0.21834903,0.7834,-0.02722,-0.0407,0.03,-0.123285789,1.0037,-0.18127,0.0055
-0.17,-0.13,-0.06,-0.06,-0.432371126,-0.04551,-0.06547,-0.0338,0.01,-0.393496588,0.3876,0.03084,-0.0175,0.05,-0.21834903,0.7834,-0.02722,-0.0407
-0.18,-0.17,-0.13,-0.13,-0.283269563,-0.32825,-0.88901,-0.0281,-0.06,-0.432371126,-0.04551,-0.06547,-0.0338,0.01,-0.393496588,0.3876,0.03084,-0.0175
-0.18,-0.18,-0.17,-0.17,-0.068096632,-0.3961,-0.38105,-0.03,-0.13,-0.283269563,-0.32825,-0.88901,-0.0281,-0.06,-0.432371126,-0.04551,-0.06547,-0.0338
-0.13,-0.18,-0.18,-0.18,0.042358846,-0.3539,0.20059,-0.0383,-0.17,-0.068096632,-0.3961,-0.38105,-0.03,-0.13,-0.283269563,-0.32825,-0.88901,-0.0281
